Year;D_AreaAcc;D_Area;DEGRAD_Area;-;VR_CO2_1stOrder;VR_CO2_2ndOrder;SV_CO2Emission;SV_CO2Absorption;-;DEGRAD_CO2Emission;DEGRAD_CO2Absorption;-;NET_1st_Order;NET_2nd_Order
1960;842754;842754;0;-;411;133;0;0;-;0;0;-;411;133
1961;1685508;842754;0;-;411;222;0;0;-;0;0;-;411;222
1962;2528262;842754;0;-;411;276;0;0;-;0;0;-;411;276
1963;3371016;842754;0;-;411;311;0;-2;-;0;0;-;409;309
1964;4213770;842754;0;-;411;334;0;-4;-;0;0;-;407;329
1965;5056524;842754;0;-;411;350;0;-7;-;0;0;-;404;342
1966;5899278;842754;0;-;411;360;0;-9;-;0;0;-;402;351
1967;6742032;842754;0;-;411;368;0;-11;-;0;0;-;400;357
1968;7584786;842754;0;-;411;374;1;-14;-;0;0;-;399;361
1969;8427540;842754;0;-;411;378;1;-16;-;0;0;-;397;364
1970;9270294;842754;0;-;411;381;2;-18;-;0;0;-;396;366
1971;10113048;842754;0;-;411;384;3;-20;-;0;0;-;394;367
1972;10955802;842754;0;-;411;386;4;-22;-;0;0;-;393;368
1973;11798556;842754;0;-;411;388;5;-24;-;0;0;-;392;369
1974;12641310;842754;0;-;411;390;6;-26;-;0;0;-;391;370
1975;13484064;842754;0;-;411;391;7;-28;-;0;0;-;390;370
1976;14326818;842754;0;-;411;393;9;-30;-;0;0;-;390;371
1977;15169572;842754;0;-;411;394;10;-32;-;0;0;-;389;371
1978;16012326;842754;0;-;411;395;11;-34;-;0;0;-;388;371
1979;18162326;2150000;0;-;1050;603;12;-36;-;0;0;-;1026;578
1980;20312326;2150000;0;-;1050;741;13;-38;-;0;0;-;1025;716
1981;22417326;2105000;155872;-;1028;819;15;-41;-;34;0;-;1037;828
1982;24522326;2105000;155872;-;1028;869;17;-46;-;34;-2;-;1030;871
1983;26627326;2105000;155872;-;1028;902;19;-52;-;34;-5;-;1023;898
1984;28732326;2105000;155872;-;1027;924;20;-57;-;34;-7;-;1017;914
1985;30837326;2105000;155872;-;1027;940;22;-63;-;34;-9;-;1011;924
1986;32942326;2105000;155872;-;1027;951;26;-68;-;34;-11;-;1007;932
1987;35047326;2105000;155872;-;1027;960;29;-73;-;34;-13;-;1003;936
1988;37152326;2105000;155872;-;1027;967;31;-78;-;34;-15;-;999;939
1989;38929326;1777000;155872;-;867;920;36;-76;-;34;-17;-;843;896
1990;40302326;1373000;155872;-;669;826;39;-81;-;34;-18;-;642;799
1991;41405326;1103000;155872;-;538;723;40;-86;-;34;-20;-;506;691
1992;42783926;1378600;155872;-;672;701;43;-90;-;34;-21;-;638;667
1993;44273526;1489600;155872;-;726;707;47;-94;-;34;-22;-;691;672
1994;45763126;1489600;155872;-;726;711;50;-96;-;34;-23;-;691;675
1995;48669026;2905900;155872;-;1416;936;53;-99;-;34;-24;-;1380;900
1996;50485126;1816100;155872;-;885;913;56;-103;-;34;-25;-;847;875
1997;51807826;1322700;155872;-;644;813;59;-106;-;34;-26;-;604;773
1998;53546126;1738300;155872;-;847;814;61;-114;-;34;-27;-;801;768
1999;55272026;1725900;155872;-;841;817;64;-119;-;34;-28;-;792;769
2000;57094626;1822600;155872;-;888;834;67;-122;-;34;-28;-;838;784
2001;58911126;1816500;155872;-;885;844;72;-126;-;34;-29;-;835;794
2002;61076244;2165118;155872;-;1055;905;74;-130;-;34;-30;-;1002;853
2003;63615930;2539686;155872;-;1237;1005;76;-134;-;34;-30;-;1183;951
2004;66393134;2777204;155872;-;1353;1107;80;-138;-;34;-31;-;1298;1053
2005;68294552;1901418;155872;-;926;1034;83;-143;-;34;-31;-;869;977
2006;69723152;1428600;155872;-;696;909;86;-149;-;34;-31;-;635;849
2007;58717962;1164972;1598534;-;624;808;89;-156;-;343;-32;-;868;1052
2008;60009059;1291096;2741165;-;664;752;93;-161;-;561;-208;-;949;1038
2009;60755424;746365;1329891;-;423;637;98;-164;-;228;-243;-;343;556
2010;61455424;700000;747276;-;398;559;103;-166;-;175;-213;-;297;458
2011;62097224;641799;2448204;-;355;496;107;-168;-;448;-192;-;550;691
2012;62554324;457100;853276;-;234;416;110;-169;-;176;-242;-;109;291
2013;63143419;589095;533412;-;305;385;114;-170;-;110;-221;-;137;217
2014;63644618;501199;415597;-;262;351;119;-172;-;87;-188;-;108;198
2015;64265306;620687;1161621;-;317;346;123;-173;-;205;-170;-;303;331
2016;65054606;789300;2725626;-;415;373;127;-174;-;691;-179;-;880;838
2017;65749320;694713;2223562;-;359;371;131;-176;-;443;-239;-;518;531
2018;66502905;753584;2331173;-;393;381;134;-178;-;394;-242;-;502;489
2019;67515838;1012933;639826;-;541;432;136;-181;-;99;-245;-;351;241
2020;68624639;1108800;811941;-;582;478;138;-185;-;129;-193;-;471;367
